"Metric","Value","Percentile","Category","Team"
"Offense_RedZone_TD_Rate_season_avg",0.2359,38.6,"Offense","Miami"
"Defense_RedZone_TD_Rate_season_avg",0.4359,92.9,"Defense","Miami"
"Defense_Stuff_Rate_season_avg",0.1133,85.2,"Defense","Miami"
"Defense_Stuff_Rate_season_avg",0.1011,69.8,"Defense","Ohio State"
