"situation","plays","sack_rate","success_rate","epa_per_play","conversion_rate","negative_play_rate","team"
"3rd & Long (7+)",57,0.0526315789473684,0.280701754385965,-0.204473787356105,0.280701754385965,0.0526315789473684,"Miami"
"Trailing Late (Q4, -7+)",5,0,0.4,-0.966450339919979,0.4,0,"Miami"
"All Passing Downs",159,0.0440251572327044,0.383647798742138,0.156005898761599,0.352201257861635,0.0691823899371069,"Miami"
"2nd & Long (8+)",80,0.025,0.425,0.40044423712234,0.5875,0.05,"Miami"
"3rd & Long (7+)",36,0.0555555555555556,0.388888888888889,0.419680706860465,0.388888888888889,0.0555555555555556,"Ohio State"
"Trailing Late (Q4, -7+)",0,NA,NA,NA,NA,NA,"Ohio State"
"All Passing Downs",114,0.0526315789473684,0.447368421052632,0.336510818542022,0.403508771929825,0.0701754385964912,"Ohio State"
"2nd & Long (8+)",59,0.0338983050847458,0.440677966101695,0.343464582702199,0.559322033898305,0.0677966101694915,"Ohio State"
