"plays","epa_per_play","success_rate","pass_rate","explosive_rate","situation","team"
999,0.0246035254610374,0.426426426426427,0.378378378378378,0.0810810810810811,"Non-Clutch","Miami"
101,0.0382195339144806,0.396039603960396,0.287128712871287,0.0396039603960396,"Clutch (Q4 & Close)","Miami"
957,0.17108306052689,0.497387669801463,0.385579937304075,0.077324973876698,"Non-Clutch","Ohio State"
40,-0.530560152337432,0.2,0.325,0.1,"Clutch (Q4 & Close)","Ohio State"
