"game_script","Plays","EPA_per_Play","Success_Rate","Pass_Rate","Rush_Rate","Explosive_Rate","Team"
"Blowout_Lead",354,0.142789062817268,0.463276836158192,0.34180790960452,0.42090395480226,0.0903954802259887,"Miami"
"Close_Deficit",56,0.265240664919572,0.464285714285714,0.446428571428571,0.321428571428571,0.0535714285714286,"Miami"
"Close_Lead",94,-0.0360868333806286,0.5,0.319148936170213,0.414893617021277,0.127659574468085,"Miami"
"Comfortable_Lead",251,0.0525559470426913,0.374501992031873,0.350597609561753,0.394422310756972,0.0637450199203187,"Miami"
"Large_Deficit",12,0.553407016571088,0.5,0.166666666666667,0.166666666666667,0.333333333333333,"Miami"
"Moderate_Deficit",100,-0.177032303603913,0.33,0.35,0.31,0.04,"Miami"
"Tied",271,-0.12808101372261,0.380073800738008,0.394833948339483,0.3690036900369,0.0553505535055351,"Miami"
"Blowout_Lead",415,0.218378093682237,0.52289156626506,0.346987951807229,0.47710843373494,0.0795180722891566,"Ohio State"
"Close_Deficit",124,-0.176680512686225,0.411290322580645,0.379032258064516,0.362903225806452,0.112903225806452,"Ohio State"
"Close_Lead",132,0.280536687829644,0.477272727272727,0.439393939393939,0.348484848484849,0.0909090909090909,"Ohio State"
"Comfortable_Lead",214,0.247159645625494,0.425233644859813,0.369158878504673,0.401869158878505,0.0794392523364486,"Ohio State"
"Large_Deficit",10,0.583937100809741,0.1,0,0,0.1,"Ohio State"
"Moderate_Deficit",6,-0.0337552307358743,0.333333333333333,0,0,0.166666666666667,"Ohio State"
"Tied",126,-0.127245227995244,0.492063492063492,0.428571428571429,0.444444444444444,0.0158730158730159,"Ohio State"
