"situation","plays","sack_rate","success_allowed","epa_allowed","conversion_allowed","negative_play_rate","team"
"3rd & Long Pass Rush",78,0.0384615384615385,0.17948717948718,-0.367843099945378,0.217948717948718,0.0641025641025641,"Miami"
"vs Trailing Late Pass",1,0,1,3.74705620750035,1,0,"Miami"
"Passing Down Pass Rush",211,0.0758293838862559,0.289099526066351,-0.167167950312935,0.227488151658768,0.0853080568720379,"Miami"
"3rd & Long Pass Rush",67,0.164179104477612,0.17910447761194,-0.194196280340451,0.17910447761194,0.164179104477612,"Ohio State"
"vs Trailing Late Pass",0,NA,NA,NA,NA,NA,"Ohio State"
"Passing Down Pass Rush",158,0.120253164556962,0.29746835443038,-0.109101448101877,0.240506329113924,0.120253164556962,"Ohio State"
