"team","side","rush_ypc","rush_success_rate","rush_epa_per_play","stuff_rate_faced","explosive_rush_rate","sack_rate","negative_pass_rate","pass_epa_per_play","rush_ypc_allowed","rush_success_allowed","rush_epa_allowed","stuff_rate","tfl_rate","disruption_rate","pass_epa_allowed"
"Miami","O-Line",4.63364055299539,0.472350230414746,-0.0252508053120436,0.142857142857143,0.131336405529954,0.0245700245700246,0.0515970515970516,0.213800439010988,NA,NA,NA,NA,NA,NA,NA
"Miami","D-Line",NA,NA,NA,NA,NA,0.0814977973568282,NA,NA,4.16176470588235,0.364705882352941,0.0366376740369435,0.214705882352941,0.138235294117647,0.092511013215859,-0.149623473393121
"Ohio State","O-Line",5.01395348837209,0.488372093023256,0.0421860395381758,0.188372093023256,0.151162790697674,0.0287958115183246,0.0418848167539267,0.387925793831147,NA,NA,NA,NA,NA,NA,NA
"Ohio State","D-Line",NA,NA,NA,NA,NA,0.0872093023255814,NA,NA,3.84527220630372,0.332378223495702,-0.148596094738673,0.214899713467049,0.0888252148997135,0.11046511627907,-0.114783700761903
